nodes,matric_values,geocode
37,471.9999999999765,4315602.0
38,471.9999999999765,4318507.0
51,320.4485006518995,2927408.0
74,247.0190954773947,2933208.0
50,188.19601837672766,2916104.0
125,186.00000000000017,2707503.0
126,186.00000000000017,2805703.0
87,120.00000000000043,2706703.0
88,120.00000000000043,2806404.0
98,93.00000000000009,2706802.0
99,93.00000000000009,2800704.0
68,66.00000000000006,2401107.0
69,66.00000000000006,2404408.0
127,49.99999999999996,4207205.0
128,49.99999999999996,4209409.0
106,42.00000000000015,3300100.0
107,42.00000000000015,3302601.0
113,42.00000000000015,4109500.0
114,42.00000000000015,4118204.0
96,24.49999999999997,2100204.0
97,24.49999999999997,2111300.0
52,20.999999999999975,4208401.0
53,20.999999999999975,4314498.0
116,17.999999999999993,2926004.0
117,17.999999999999993,2930204.0
132,11.00000000000001,1508308.0
133,11.00000000000001,2102903.0
83,8.28,2105005.0
84,8.28,2111201.0
25,7.441428221087719,1505106.0
0,7.441298989572747,1302603.0
23,7.431433377575665,1506807.0
7,7.40320705736535,1503903.0
72,7.325771655787778,1301159.0
17,7.2154303491854,1506005.0
137,7.137931034482761,2109403.0
8,7.013617402904562,1504802.0
92,6.982183952262176,1302553.0
21,6.89951588447763,1303403.0
4,6.814629783647591,1301308.0
108,6.813797880835828,1501006.0
18,6.768536288137175,1301209.0
15,6.68765731754057,1500503.0
66,6.649298935900292,1505304.0
62,6.6321949443133565,1304203.0
39,6.625828297579194,1303106.0
118,6.5762240638625,1503606.0
55,6.571371313581619,1600600.0
19,6.505364701725809,1500404.0
9,6.448277750534769,1301902.0
6,6.437910966482005,1300805.0
44,6.350378647506534,1303304.0
3,6.326840155060216,1300029.0
119,6.325219736777101,1300086.0
58,6.292245222100649,1302702.0
91,6.262744810691473,1302306.0
77,6.251878568483454,1301605.0
136,6.190517224235486,1300508.0
10,6.133246743264914,1501402.0
20,6.077322605862919,1503101.0
35,6.0470826658630665,1501303.0
70,5.98357377543157,1300102.0
26,5.798792238336979,1300631.0
47,5.766754133214917,1304401.0
14,5.765462157093362,1501808.0
75,5.741813527514174,1304062.0
76,5.739559814485858,1300607.0
93,5.731760621619195,1303908.0
103,5.726375931331301,1303700.0
115,5.723623705976677,1304237.0
89,5.7187040537878255,1300060.0
33,5.661861155429699,1505908.0
81,5.609412420631322,1506302.0
112,5.577259621341614,1502855.0
48,5.5440466752848,1507979.0
124,5.539201595345274,1300409.0
64,5.528548541879819,1505809.0
73,5.497615816769725,1502806.0
22,5.480909209110277,1507706.0
65,5.466175719942351,1504505.0
90,5.449729127522721,1302504.0
1,5.441604256105597,1304260.0
40,5.399558842308245,1100205.0
49,5.323274669082775,1302900.0
45,5.314020945257154,1503002.0
131,5.257804096305813,1300680.0
110,5.237675445620997,1505700.0
130,5.170965411504083,1502004.0
43,5.1465168958660295,1504901.0
85,5.132231404958676,2105104.0
121,5.123680100634633,1303809.0
134,5.123680100634633,1303601.0
32,5.120711033766102,1301704.0
41,5.0053416055144515,1300839.0
5,4.814739351106914,1300300.0
46,4.7777059110062385,1303007.0
120,4.665081680244912,1304302.0
109,4.660947831064029,1506401.0
67,4.6428864795130345,1507805.0
61,4.607964583227019,1508357.0
27,4.45618440211977,1304104.0
129,4.435564074291983,1303957.0
104,4.4225795894133615,1302009.0
16,4.4224955164595805,1302801.0
59,4.323383693260526,1501105.0
139,4.278294966769946,1507904.0
86,4.092477302552925,1303205.0
34,3.9246956474400063,1600303.0
63,3.8351604935930266,1302207.0
79,3.754544378300097,1301852.0
36,3.6489235103709543,1505205.0
42,3.6391349436816496,1500305.0
13,3.5658320724625003,1502103.0
30,3.463255565535095,1600279.0
31,3.459466798324945,1600808.0
2,3.4320503999455836,1302108.0
12,3.328526872796012,1504604.0
80,3.2281010545453923,1502509.0
111,3.1948923474898154,1504000.0
54,3.0488340864882013,1500206.0
100,3.000000000000001,2924405.0
101,3.000000000000001,2933604.0
29,2.9787994980776125,1500701.0
95,2.625,2105302.0
82,2.4501307567580985,1508100.0
122,2.3799582463465554,1200203.0
94,2.333333333333333,1710706.0
11,2.24523383454254,1501204.0
105,2.080401041326402,1301001.0
56,2.0,2709202.0
57,2.0,2802403.0
71,1.9374711560198714,1500107.0
135,1.784037558685446,1200393.0
138,1.7040358744394621,1301803.0
60,1.545545845554816,1500602.0
78,1.4096683978730835,1508084.0
102,1.4000000000000001,1504208.0
24,1.2622831487358017,1300904.0
28,1.1309645083557747,1302405.0
123,1.048758049678013,1200351.0
